instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
9516|20MICRONS|20 Microns Ltd|89.65|0|0|0.050000|1|EQ|CASH|NSE|INE144J01027|1|16921|- 
43865|3IINFOLTD|3i Infotech Ltd|44.95|0|0|0.050000|1|EQ|CASH|NSE|INE748C01038|1|6232|- 
891|3MINDIA|3M India Ltd|22922.1|0|0|0.050000|1|EQ|CASH|NSE|INE470A01017|1|474|- 
607|3PLAND|3P Land Holdings Ltd|17.45|0|0|0.050000|1|EQ|CASH|NSE|INE105C01023|1|2595|- 
13140|5PAISA|5Paisa Capital Ltd|333.45|0|0|0.050000|1|EQ|CASH|NSE|INE618L01018|1|445|- 
5653|63MOONS|63 Moons Technologies Ltd|166.6|0|0|0.050000|1|EQ|CASH|NSE|INE111B01023|1|11868|- 
10586|A2ZINFRA|A2Z Infra Engineering Ltd|10.35|0|0|0.050000|1|EQ|CASH|NSE|INE619I01012|1|20906|- 
94320|AAKASH|Aakash Exploration Services Ltd|12.3|0|0|0.050000|1|EQ|CASH|NSE|INE087Z01024|1|235|- 
16680|AREYDRG|Aarey Drugs & Pharmaceuticals Ltd|37.65|0|0|0.050000|1|EQ|CASH|NSE|INE198H01019|1|5245|- 
717|AARTIDRUGS|Aarti Drugs Ltd|460.05|0|0|0.050000|1|EQ|CASH|NSE|INE767A01016|1|4481|- 
411|AARTIIND|Aarti Industries Ltd|687.15|0|0|0.050000|1|EQ|CASH|NSE|INE769A01020|1|7|- 
27206|AARTISURF|Aarti Surfactants Ltd|748.3|0|0|0.050000|1|EQ|CASH|NSE|INE09EO01013|1|19233|- 
4968|AARVEEDEN|Aarvee Denims & Exports Ltd|25.85|0|0|0.050000|1|EQ|CASH|NSE|INE273D01019|1|13771|- 
5038|AARVI|Aarvi Encon Ltd|156.1|0|0|0.050000|1|EQ|CASH|NSE|INE754X01016|1|19073|- 
109230|AAVAS|AAVAS Financiers Ltd|1971.9|0|0|0.050000|1|EQ|CASH|NSE|INE216P01012|1|5385|- 
413|ABAN|Aban Offshore Ltd|49.7|0|0|0.050000|1|EQ|CASH|NSE|INE421A01028|1|10|- 
720|ABB|ABB India Ltd|3055.25|0|0|0.050000|1|EQ|CASH|NSE|INE117A01022|1|13|- 
904|ABBOTINDIA|Abbott India Ltd|18478.6|0|0|0.050000|1|EQ|CASH|NSE|INE358A01014|1|17903|- 
727|ACC|ACC Ltd|2247.5|0|0|0.050000|1|EQ|CASH|NSE|INE012A01025|1|22|- 
2574|ACCELYA|Accelya Solutions India Ltd|1180.2|0|0|0.050000|1|EQ|CASH|NSE|INE793A01012|1|7053|- 
27632|ACCURACY|Accuracy Shipping Ltd|246.2|0|0|0.050000|1|EQ|CASH|NSE|INE648Z01015|1|1465|- 
14111|ACRYSIL|Acrysil Ltd|539.4|0|0|0.050000|1|EQ|CASH|NSE|INE482D01024|1|1879|- 
8244|ACE|Action Construction Equipment Ltd|287.15|0|0|0.050000|1|EQ|CASH|NSE|INE731H01025|1|13587|- 
729|ADANIENT|Adani Enterprises Ltd|3300.5|0|0|0.050000|1|EQ|CASH|NSE|INE423A01024|1|25|- 
14443|ADANIGREEN|Adani Green Energy Ltd|2079.9|0|0|0.050000|1|EQ|CASH|NSE|INE364U01010|1|3563|- 
